"precio","metros_cuadrados_construidos","habitaciones","banos","planta","latitud","longitud","ascensor","obra_nueva","piscina","terraza","parking","parking_incluido_en_el_precio","aire_acondicionado","trastero","jardin","planta_was_nan"
450,60,1,2,0,40.6190018,-4.2764068,0,0,0,1,0,0,0,0,0,1
540,70,1,2,2,40.3591101,-4.3336303,0,0,0,0,0,0,1,0,0,0
800,42,1,2,0,40.5483232,-3.6368044,0,0,0,0,0,0,1,0,0,0
800,49,1,2,3,40.4353908,-3.7143276,1,0,0,0,0,0,0,0,0,0
850,58,1,2,1,40.2860188,-4.0143242,0,0,0,0,0,0,0,0,0,0
850,66,1,2,2,40.4765613,-3.576171,1,0,0,0,1,1,1,0,0,0
850,47,1,2,1,40.2860188,-4.0143242,0,0,0,0,1,0,0,0,0,0
900,88,1,2,1,40.2126777,-3.853991,1,0,0,0,0,0,1,1,0,0
900,75,1,2,1,40.6096535,-3.582277,0,0,0,1,1,1,1,0,1,0
900,70,1,2,3,40.4416136,-3.3628474,1,0,1,1,1,1,1,1,1,0
900,27,1,2,0,40.4495179,-3.704711,1,0,0,0,0,0,0,0,0,0
903,72,1,2,1,40.3591364,-3.7031671,1,0,1,0,1,1,1,1,1,0
919,72,1,2,1,40.3609028,-3.7013846,1,0,1,0,1,1,1,1,1,0
925,70,1,2,1,40.4722967,-3.5771369,0,0,0,0,0,0,1,0,0,0
930,70,1,2,2,40.4837261,-3.3672551,0,0,0,0,0,0,1,0,0,0
950,50,1,2,1,40.610004,-3.5824078,0,0,0,1,1,1,1,0,0,0
950,60,1,2,8,40.3094706,-3.8597352,1,0,1,1,1,1,0,0,1,0
950,78,1,2,0,40.5016881,-4.0650072,0,0,0,1,1,1,1,0,0,1
950,35,1,2,0,40.4599899,-3.7016943,0,0,0,0,0,0,1,0,0,0
980,60,1,2,0,40.570359,-3.6039119,1,0,0,0,1,1,1,0,0,0
990,90,1,2,2,40.5931357,-4.1451791,1,0,0,0,1,1,0,0,0,0
995,67,1,2,1,40.3258081,-3.8640531,1,0,0,0,1,0,1,0,1,0
1000,40,1,2,4,40.4096015,-3.6977554,0,0,0,0,0,0,1,0,0,0
1000,85,1,2,1,40.529856,-3.3841631,0,0,0,1,1,1,1,0,0,0
1000,62,1,2,1,40.3941395,-3.7390357,0,0,0,1,0,0,1,0,0,0
1050,87,1,2,6,40.3722563,-3.6127233,1,0,1,1,1,1,1,1,1,0
1100,80,1,2,1,40.5539451,-3.6258556,1,0,0,1,0,0,1,0,0,0
1150,73,1,2,0,40.5715813,-3.6049669,1,0,0,0,0,0,1,0,0,0
1150,60,1,2,3,40.3835025,-3.7064557,1,0,0,1,0,0,1,0,0,0
1150,80,1,2,3,40.569578,-3.6048764,1,0,0,1,1,1,1,0,0,0
1150,112,1,2,1,40.3745905,-3.7740972,1,0,0,1,1,1,1,0,0,0
1150,45,1,2,0,40.4001867,-3.7218713,1,0,0,0,0,0,1,1,0,0
1180,50,1,2,0,40.4603373,-3.6950313,1,0,0,0,0,0,1,0,0,0
1200,66,1,2,2,40.3924842,-3.7150569,1,0,0,1,0,0,1,0,0,0
1200,50,1,2,0,40.4134853,-3.7175248,0,0,0,0,0,0,1,0,0,0
1200,89,1,2,1,40.4352608,-3.6226357,1,0,0,1,1,1,1,0,1,0
1200,80,1,2,2,40.5472924,-3.6220831,1,0,1,0,1,1,1,0,0,0
1200,58,1,2,0,40.5713032,-3.6033962,1,0,0,0,1,1,1,0,0,0
